import time: self [us] | cumulative | imported package
import time:      2577 |       8304 |               sqlalchemy.engine.cursor
import time:      3704 |       3704 |               sqlalchemy.engine.reflection
import time:       849 |     188088 |             sqlalchemy.engine
import time:       791 |        791 |             sqlalchemy.schema
import time:       650 |        650 |             sqlalchemy.types
import time:      1218 |       1218 |               sqlalchemy.engine.characteristics
import time:      3785 |       5003 |             sqlalchemy.engine.default
import time:      2342 |     670103 |           sqlalchemy
import time:       815 |        815 |                         sqlalchemy.sql._orm_types
import time:      1822 |       2637 |                       sqlalchemy.orm._typing
import time:      3321 |       5957 |                     sqlalchemy.orm.base
import time:      1543 |       1543 |                     sqlalchemy.orm.mapped_collection
import time:      3149 |      10649 |                   sqlalchemy.orm.collections
import time:      1928 |       1928 |                     sqlalchemy.orm.path_registry
import time:      3294 |       5221 |                   sqlalchemy.orm.interfaces
import time:      3727 |      19596 |                 sqlalchemy.orm.attributes
import time:      3786 |      23382 |               sqlalchemy.orm.util
import time:      1554 |      24936 |             sqlalchemy.orm.exc
import time:      2176 |       2176 |                 sqlalchemy.orm.state
import time:      3300 |       5475 |               sqlalchemy.orm.instrumentation
import time:       659 |        659 |                     sqlalchemy.future.engine
import time:       738 |       1397 |                   sqlalchemy.future
import time:      2792 |       4189 |                 sqlalchemy.orm.context
import time:      4846 |       4846 |                     sqlalchemy.orm.strategy_options
import time:      2957 |       2957 |                     sqlalchemy.orm.descriptor_props
import time:     12752 |      12752 |                     sqlalchemy.orm.relationships
import time:      2078 |      22632 |                   sqlalchemy.orm.properties
import time:      9953 |       9953 |                   sqlalchemy.orm.query
import time:      1751 |       1751 |                   sqlalchemy.orm.unitofwork
import time:      1079 |       1079 |                       sqlalchemy.orm.evaluator
import time:       938 |        938 |                         sqlalchemy.orm.sync
import time:      1219 |       2156 |                       sqlalchemy.orm.persistence
import time:      2245 |       5479 |                     sqlalchemy.orm.bulk_persistence
import time:      1299 |       1299 |                     sqlalchemy.orm.identity
import time:      1473 |       1473 |                     sqlalchemy.orm.state_changes
import time:      7280 |      15529 |                   sqlalchemy.orm.session
import time:      3102 |      52965 |                 sqlalchemy.orm.strategies
import time:      2061 |      59214 |               sqlalchemy.orm.loading
import time:      4127 |      68815 |             sqlalchemy.orm.mapper
import time:      3566 |       3566 |             sqlalchemy.orm._orm_constructors
import time:      1266 |       1266 |               sqlalchemy.orm.clsregistry
import time:      2901 |       2901 |               sqlalchemy.orm.decl_base
import time:      2708 |       6873 |             sqlalchemy.orm.decl_api
import time:      1749 |       1749 |               sqlalchemy.orm.writeonly
import time:      1772 |       3520 |             sqlalchemy.orm.dynamic
import time:      1999 |       1999 |               sqlalchemy.orm.scoping
import time:      7635 |       9633 |             sqlalchemy.orm.events
import time:      1326 |       1326 |             sqlalchemy.orm.dependency
import time:      1827 |     120493 |           sqlalchemy.orm
import time:       632 |        632 |             app.common
import time:      1033 |       1033 |             app.common.enums.academic_year
import time:      1032 |       1032 |             app.common.enums.school_class
import time:      1078 |       1078 |             app.common.enums.section
import time:      1912 |       1912 |             app.common.enums.student
import time:      1210 |       6895 |           app.common.enums
import time:       593 |        593 |             app.database
import time:       350 |        350 |                 app.common.mixins
import time:       536 |        885 |               app.common.mixins.database
import time:      1592 |       2477 |             app.common.mixins.database.soft_delete_mixin
import time:      1040 |       1040 |             app.common.mixins.database.timestamp_mixin
import time:       861 |        861 |             app.common.mixins.database.uuid_mixin
import time:       573 |        573 |               app.database.base
import time:       707 |       1279 |             app.database.base_entity
import time:      1490 |       7738 |           app.database.common_model
import time:      9249 |     838806 |         app.models.academic_year.academic_year
import time:       655 |     839460 |       app.models.academic_year
import time:       782 |        782 |           app.common.enums.parent
import time:     10438 |      11220 |         app.models.parent.parent
import time:      1071 |      12291 |       app.models.parent
import time:      1221 |       1221 |           app.common.enums.school
import time:      9814 |      11034 |         app.models.school.school
import time:      1219 |      12253 |       app.models.school
import time:       468 |        468 |               sqlalchemy.dialects.postgresql.operators
import time:     31344 |      31812 |             sqlalchemy.dialects.postgresql.array
import time:      5307 |       5307 |               sqlalchemy.dialects.postgresql.json
import time:      6115 |       6115 |               sqlalchemy.dialects.postgresql.ranges
import time:      3342 |       3342 |                   sqlalchemy.dialects.postgresql.types
import time:     42062 |      45403 |                 sqlalchemy.dialects.postgresql.pg_catalog
import time:      2531 |       2531 |                 sqlalchemy.dialects.postgresql.ext
import time:      2840 |       2840 |                 sqlalchemy.dialects.postgresql.hstore
import time:      2565 |       2565 |                 sqlalchemy.dialects.postgresql.named_types
import time:     12230 |      65568 |               sqlalchemy.dialects.postgresql.base
import time:      1026 |       1026 |                 sqlalchemy.connectors
import time:      3431 |       4457 |               sqlalchemy.connectors.asyncio
import time:      9932 |      91377 |             sqlalchemy.dialects.postgresql.asyncpg
import time:      3043 |       3043 |             sqlalchemy.dialects.postgresql.pg8000
import time:      1449 |       1449 |               sqlalchemy.dialects.postgresql._psycopg_common
import time:      2795 |       4244 |             sqlalchemy.dialects.postgresql.psycopg
import time:      1576 |       1576 |             sqlalchemy.dialects.postgresql.psycopg2
import time:       859 |        859 |             sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       671 |        671 |               sqlalchemy.dialects._typing
import time:      2089 |       2759 |             sqlalchemy.dialects.postgresql.dml
import time:      1381 |     137048 |           sqlalchemy.dialects.postgresql
import time:      5868 |     142916 |         app.models.school_class.school_class
import time:      1134 |     144049 |       app.models.school_class
import time:       731 |    1009357 |     app.models
import time:      7378 |       7378 |     app.models.section.section
import time:      1149 |    1017882 |   app.models.section
import time:        38 |    1017920 | app.models.section.section
